Date,   Close,Predicted Lower,Predicted Upper,Predicted
2021-01-29,0.047162,0.01783631757,0.04837222834,0.03282898582
2021-01-30,0.028176,0.01760568604,0.04915110218,0.03297588261
2021-01-31,0.037196,0.01858087544,0.04988349632,0.03350222098
2021-02-01,0.034875,0.0171917104,0.04880381832,0.03322804693
2021-02-02,0.03152,0.01751425025,0.04980786439,0.03359389495
2021-02-03,0.03712,0.01831712952,0.05020146254,0.03399391307
2021-02-04,0.053289,0.018563879,0.05097558782,0.03458052807
2021-02-05,0.046935,0.01972980589,0.05023212858,0.03557290864
2021-02-06,0.057595,0.02013340121,0.05137500414,0.03554920797
2021-02-07,0.078782,0.0202556381,0.05116914485,0.03588982123
2021-02-08,0.078825,0.02006681139,0.05030250279,0.03541994619
2021-02-09,0.07007,0.02160232884,0.05099326271,0.03558529424
2021-02-10,0.072896,0.02055567596,0.05159194927,0.03578505667
2021-02-11,0.069676,0.01940741191,0.05257597726,0.03617641787
2021-02-12,0.070069,0.02196037111,0.05208985642,0.03698287793
2021-02-13,0.06645,0.0222976632,0.0524350102,0.03678637058
2021-02-14,0.062537,0.02088079888,0.05211922097,0.03697041546
2021-02-15,0.056591,0.02168435981,0.0515990181,0.03636259654
2021-02-16,0.05352,0.02193170243,0.05157984888,0.03641021626
2021-02-17,0.049376,0.01973346782,0.0512829273,0.03651323195
2021-02-18,0.059541,0.0216187153,0.0518381,0.03682876717
2021-02-19,0.055139,0.02195713631,0.05220950697,0.03757946042
2021-02-20,0.054384,0.02152379553,0.05275474212,0.03734563605
2021-02-21,0.05598,0.02198946652,0.05306142192,0.03750853505
2021-02-22,0.053725,0.02164851188,0.05192611587,0.03689289453
2021-02-23,0.047392,0.022417111,0.05256150224,0.03694272241
2021-02-24,0.056555,0.02158193978,0.05253857509,0.03705436999
2021-02-25,0.050167,0.0215978834,0.0538694332,0.0373811905
2021-02-26,0.05048,0.02331381298,0.05536075644,0.03814204129
2021-02-27,0.050083,0.02333245159,0.05265587219,0.03791360958
2021-02-28,0.048052,0.02356858999,0.05324328508,0.03807379403
2021-03-01,0.050599,0.0215228673,0.05346274557,0.03744442623
2021-03-02,0.050262,0.02225623416,0.05282658301,0.03746717359
2021-03-03,0.050592,0.02147587488,0.0531559081,0.03753672199
2021-03-04,0.050048,0.02211529599,0.05299024823,0.03780552223
2021-03-05,0.049609,0.02283786306,0.05426732999,0.038492355
2021-03-06,0.050984,0.02284850465,0.05357200543,0.03817469134
2021-03-07,0.052122,0.0241592875,0.05556608659,0.03823207972
2021-03-08,0.061949,0.02070084017,0.05319787938,0.0374888427
2021-03-09,0.057998,0.02162386684,0.05259141995,0.03738992498
2021-03-10,0.056004,0.02098632491,0.05164610133,0.03733399238
2021-03-11,0.055918,0.02175726901,0.05232456311,0.03747806783
2021-03-12,0.055349,0.02213647247,0.05353925797,0.03804596185
2021-03-13,0.062432,0.02215948857,0.05285675065,0.03762047854
2021-03-14,0.058592,0.02199053094,0.05308390844,0.03758663221
2021-03-15,0.057088,0.02055170218,0.05121963335,0.03677416292
2021-03-16,0.058607,0.0211688415,0.0526750869,0.03663319794
2021-03-17,0.057653,0.0220152725,0.05219705828,0.03656716438
2021-03-18,0.057383,0.02150592243,0.05156985308,0.03673724487
2021-03-19,0.058328,0.021621892,0.05236320657,0.03737063943
2021-03-20,0.058961,0.02076198767,0.05312273849,0.03705261999
2021-03-21,0.057234,0.02189343812,0.05270307106,0.03716961782
2021-03-22,0.054962,0.02141833221,0.05241026826,0.03655163656
2021-03-23,0.053556,0.02110169251,0.05118522467,0.03664784165
2021-03-24,0.051702,0.02118067635,0.05150921697,0.0368594345
2021-03-25,0.051448,0.0219839615,0.05297457931,0.03734410516
2021-03-26,0.053952,0.02417089823,0.0535156913,0.03832432781
2021-03-27,0.054377,0.02333427531,0.05347193278,0.0383794855
2021-03-28,0.053698,0.02470979401,0.05407680625,0.03888906335
2021-03-29,0.054052,0.02362511674,0.05378524661,0.03867520078
2021-03-30,0.0539,0.02412689045,0.05385942842,0.03917845065
2021-03-31,0.053657,0.0240654049,0.05521555448,0.03979084933
2021-04-01,0.061986,0.02448251836,0.05591966945,0.04066058699
2021-04-02,0.057664,0.02553164312,0.0574953114,0.04200053655
2021-04-03,0.055804,0.02555702352,0.05909897712,0.04238062198
2021-04-04,0.057404,0.02772440183,0.05788694305,0.04317125833
2021-04-05,0.059696,0.02691044558,0.05883079068,0.04318614774
2021-04-06,0.064458,0.02916358912,0.05993298722,0.04385827232
2021-04-07,0.059028,0.02861014567,0.06034071241,0.04457318157
2021-04-08,0.061464,0.030327696,0.06076735865,0.04547385734
2021-04-09,0.061684,0.02905940158,0.06170400959,0.04676940917
2021-04-10,0.063845,0.03053170815,0.06261225785,0.04702757566
2021-04-11,0.074649,0.03296434907,0.06329772867,0.04761826023
2021-04-12,0.070767,0.03188992934,0.06270056814,0.04735638215
2021-04-13,0.093445,0.03248711701,0.06262925861,0.04767788181
2021-04-14,0.121517,0.03303505816,0.06373997637,0.04797297673
2021-04-15,0.182207,0.03278227578,0.06342170497,0.04839095161
2021-04-16,0.36587,0.03493832517,0.06438206552,0.04914873654
2021-04-17,0.284173,0.03339025781,0.06541994983,0.04882325142
2021-04-18,0.329714,0.03292222097,0.06465945532,0.04879474867